Student_ID,Department,Study_Level,Study_Hours,Attendance,Final_Score
S092,Civil,2,5.2,75,75
S093,Architecture,1,5.9,85,80
S094,Petroleum,1,5.1,90,72
S095,Mechanical,4,4.9,77,80
S096,Civil,2,0.5,80,54
S097,Petroleum,2,3.9,96,70
S098,Mechanical,3,6.0,77,77
S099,Petroleum,2,2.8,64,67
S100,ECE,2,6.9,76,83
S101,Mechanical,2,5.4,79,78
S102,Mechanical,1,2.6,73,58
S103,Petroleum,2,5.4,83,70
S104,Architecture,4,5.6,71,74
S105,Petroleum,3,5.4,90,79
S106,ECE,4,4.7,74,67
S107,ECE,1,6.8,83,90
S108,Architecture,2,7.0,79,80
S109,Architecture,4,3.6,86,76
S110,Civil,4,3.7,67,73
S111,ECE,4,5.6,86,86
S112,Mechanical,3,5.3,81,81
S113,Architecture,4,2.9,75,66
S114,Petroleum,3,6.6,86,76
S115,Architecture,4,5.9,79,77
S116,Mechanical,2,8.6,74,79
S117,Architecture,1,4.1,97,77
S118,ECE,3,7.1,86,92
S119,Architecture,4,1.6,91,78
S120,Petroleum,2,6.4,89,98
S121,Architecture,3,5.6,86,98
S122,Civil,3,4.9,67,76
S123,Architecture,3,3.9,87,61
S124,Civil,4,1.8,86,72
S125,Mechanical,1,5.7,78,84
S126,ECE,1,3.2,85,66
S127,Mechanical,4,4.6,92,71
S128,Mechanical,3,5.2,67,74
S129,Architecture,4,7.0,82,83
S130,Architecture,3,6.2,93,91
S131,Petroleum,1,5.8,85,81
S132,Mechanical,1,9.2,95,98
S133,ECE,3,3.3,75,61
S134,Civil,4,5.3,82,80
S135,Architecture,3,4.5,92,86
S136,Civil,1,4.3,82,75
S137,ECE,3,7.7,95,97
S138,ECE,1,6.5,86,95
S139,Petroleum,1,6.1,98,85
S140,Civil,1,1.7,78,71
S141,Civil,2,7.6,72,85
S142,Civil,4,1.5,89,72
S143,ECE,4,5.3,78,77
S144,Petroleum,1,5.1,93,89
S145,Civil,1,2.7,75,64
S146,Civil,2,4.1,66,66
S147,Architecture,1,2.8,87,78
S148,Petroleum,4,7.5,90,93
S149,ECE,2,6.6,82,89
S150,Petroleum,2,5.3,93,69
S151,Mechanical,1,4.6,66,65
S152,Civil,2,3.8,90,64
S153,Civil,1,0.5,78,55
S154,Civil,2,7.2,67,84
S155,Petroleum,4,5.4,100,97
S156,Architecture,3,7.1,88,89
S157,ECE,2,6.0,87,87
S158,Mechanical,3,7.9,83,84
S159,Architecture,3,8.3,84,96
S160,Civil,3,5.5,87,82
S161,Civil,3,5.7,70,84
S162,Mechanical,3,6.2,90,82
S163,Mechanical,2,2.7,79,61
S164,Civil,3,4.8,76,70
S165,Petroleum,4,6.1,74,89
S166,Petroleum,1,1.5,86,64
S167,Mechanical,2,7.1,76,76
S168,Architecture,2,3.1,83,71
S169,Petroleum,3,6.3,73,81
S170,Architecture,3,3.2,93,69
S171,Architecture,4,5.7,78,77
S172,Architecture,1,6.4,81,77
S173,Mechanical,2,5.2,94,82
S174,Civil,3,6.2,80,93
S175,Petroleum,2,7.1,77,91
S176,Architecture,2,4.2,99,67
S177,Mechanical,1,5.7,83,80
S178,Architecture,1,4.2,75,82
S179,Architecture,4,1.9,73,60
S180,Civil,1,4.5,90,86
S181,ECE,2,4.7,79,77
S182,Mechanical,4,5.0,89,89
S183,Petroleum,3,6.6,87,80
S184,Architecture,2,6.0,97,84
S185,ECE,4,4.6,74,51
S186,Petroleum,1,4.6,75,79
S187,Civil,3,3.5,100,74
S188,Civil,3,3.5,66,79
S189,Civil,2,8.0,89,98
S190,Petroleum,4,2.0,76,62
S191,Civil,3,6.5,65,90
S192,Civil,1,6.7,82,75
S193,Mechanical,1,5.4,98,79
S194,Civil,3,6.1,79,75
S195,Architecture,4,3.9,79,65
S196,ECE,1,6.7,77,83
S197,Architecture,2,5.6,84,73
S198,ECE,1,5.4,76,70
S199,Mechanical,3,9.4,75,86
S200,Architecture,3,2.7,76,70
S201,Petroleum,1,2.2,73,67
S202,Mechanical,3,4.5,62,85
S203,ECE,4,2.6,63,59
S204,Petroleum,3,0.9,80,62
S205,Architecture,2,4.3,92,76
S206,Civil,4,3.1,84,72
S207,Civil,4,3.7,95,75
S208,Architecture,4,5.1,80,70
S209,ECE,1,4.0,82,83
S210,Petroleum,1,5.6,68,94
S211,ECE,2,6.8,82,92
S212,ECE,1,10.0,87,99
S213,Mechanical,3,5.2,84,73
S214,Petroleum,1,3.9,84,85
S215,Architecture,3,0.5,84,62
S216,ECE,1,3.6,77,73
S217,ECE,3,1.6,89,69
S218,Mechanical,2,5.8,81,79
S219,Petroleum,1,2.4,99,71
S220,Mechanical,4,3.1,78,60
S221,Civil,4,2.2,100,79
S222,ECE,2,5.3,77,73
S223,ECE,2,7.6,93,91
S224,Civil,4,3.0,80,74
S225,ECE,2,5.0,94,85
S226,Petroleum,4,2.5,78,58
S227,Petroleum,4,4.9,72,88
S228,Petroleum,2,4.1,86,65
S229,Petroleum,2,6.2,71,79
S230,Civil,2,3.5,83,79
S231,Architecture,4,5.6,91,75
S232,Petroleum,4,1.8,83,71
S233,Mechanical,4,8.6,89,85
S234,Mechanical,1,6.1,80,81
S235,Mechanical,4,5.4,92,81
S236,Civil,3,0.5,89,68
S237,Petroleum,3,5.9,78,76
S238,Petroleum,1,2.4,84,70
S239,ECE,2,4.1,81,66
S240,ECE,3,4.4,81,74
S241,Petroleum,1,3.5,74,69
S242,Mechanical,2,6.4,74,74
S243,Civil,2,7.0,81,81
S244,Civil,2,7.9,77,94
S245,Architecture,4,5.0,88,85
S246,Architecture,2,5.6,86,78
S247,Civil,3,2.9,87,71
S248,Architecture,2,4.8,81,84
S249,ECE,4,6.5,73,86
S250,Architecture,3,4.1,72,80
S251,Architecture,3,3.3,73,74
S252,Civil,4,4.8,80,87
S253,ECE,4,6.0,82,97
S254,Architecture,2,7.1,88,90
S255,Civil,1,6.4,90,77
S256,ECE,4,6.6,82,90
S257,Civil,3,5.5,91,75
S258,Petroleum,3,4.3,77,70
S259,Mechanical,3,7.3,80,86
S260,Architecture,1,5.2,75,80
S261,Architecture,4,1.8,85,72
S262,Mechanical,1,1.4,93,71
S263,Civil,2,6.7,71,79
S264,Civil,3,5.6,81,92
S265,Architecture,2,5.7,95,97
S266,Mechanical,1,3.3,76,79
S267,ECE,2,7.0,84,91
S268,Mechanical,3,5.4,89,88
S269,Architecture,4,5.4,93,90
S270,Petroleum,4,5.6,86,77
S271,Architecture,4,1.8,73,63
S272,Petroleum,4,6.2,84,86
S273,Architecture,2,2.2,96,71
S274,Architecture,3,3.5,80,65
S275,Civil,1,3.1,78,60
S276,Petroleum,2,3.9,88,81
S277,Petroleum,3,5.7,89,84
S278,Petroleum,2,3.0,77,66
S279,ECE,4,4.9,87,75
S280,Architecture,3,4.5,82,85
S281,Mechanical,2,5.5,80,94
S282,Civil,2,3.9,77,79
S283,Architecture,4,2.2,75,72
S284,Petroleum,1,4.8,88,73
S285,Petroleum,2,4.7,97,77
S286,Mechanical,3,6.4,88,93
S287,ECE,4,5.0,92,70
S288,Architecture,1,0.5,72,66
S289,Mechanical,3,4.2,82,79
S290,Architecture,2,4.4,72,81
S291,ECE,1,6.2,91,79
S292,Mechanical,1,6.6,81,78
S293,ECE,3,3.2,73,77
S294,Petroleum,4,5.2,78,76
S295,Civil,3,5.5,73,87
S296,Petroleum,3,3.8,73,64
S297,ECE,4,3.6,82,64
S298,Civil,3,6.8,90,91
S299,Architecture,2,2.6,90,76
S300,Architecture,3,4.0,87,81
